"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 10 14:19:58 UTC 2022","Sun Jul 10 14:19:58 UTC 2022","802","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Sun Jul 10 14:20:01 UTC 2022","Sun Jul 10 14:20:02 UTC 2022","804","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Sun Jul 10 14:20:14 UTC 2022","Sun Jul 10 14:20:20 UTC 2022","5916","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Sun Jul 10 14:20:02 UTC 2022","Sun Jul 10 14:20:03 UTC 2022","777","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Sun Jul 10 14:20:13 UTC 2022","Sun Jul 10 14:20:14 UTC 2022","756","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Sun Jul 10 14:20:01 UTC 2022","Sun Jul 10 14:20:01 UTC 2022","880","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Sun Jul 10 14:19:53 UTC 2022","Sun Jul 10 14:19:55 UTC 2022","1308","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Sun Jul 10 14:20:11 UTC 2022","Sun Jul 10 14:20:12 UTC 2022","865","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Sun Jul 10 14:20:03 UTC 2022","Sun Jul 10 14:20:09 UTC 2022","5963","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Sun Jul 10 14:19:51 UTC 2022","Sun Jul 10 14:19:53 UTC 2022","1755","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Sun Jul 10 14:19:57 UTC 2022","Sun Jul 10 14:19:58 UTC 2022","1002","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Sun Jul 10 14:20:12 UTC 2022","Sun Jul 10 14:20:13 UTC 2022","788","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
